record_id,snapshot_date,facility_id,facility_type,department,item_id,item_category,item_subcategory,criticality_level,unit_of_measure,shelf_life_days,avg_daily_usage_last_30d,avg_daily_usage_last_90d,usage_cv_last_90d,demand_trend,seasonal_demand_factor,recent_usage_spike,current_stock_on_hand,safety_stock_level,days_of_supply_on_hand,stock_as_pct_of_safety_level,reorder_point_days,days_until_next_scheduled_order,primary_vendor_id,vendor_reliability_score,contracted_lead_time_days,actual_avg_lead_time_last_6m,lead_time_variability_days,active_po_in_transit,backorder_frequency_last_12m,sole_source_item,substitution_available,facility_census_pct,pandemic_or_surge_flag,days_since_last_stockout,stockout_event
SC00016170,2024-12-25,FAC0075,Acute Care Hospital,Laboratory,ITEM00296,PPE,Protective Gowns,Medium,Bag,1029,148.0,134.0,0.125,Stable,0.91,No,3789,2389,25.6,158.6,19.3,3,VND073,4.4,14,15.4,2.9,Yes,3,No,Yes,86.0,No,23,0
SC00016171,2023-01-24,FAC0197,Outpatient Clinic,Nursing Station,ITEM00100,IV & Fluids,TPN Components,High,Box,218,8.5,7.7,0.138,Stable,0.89,No,756,194,88.9,389.7,6.8,28,VND034,3.5,4,3.7,1.1,No,1,No,Yes,49.8,No,185,0
SC00016172,2021-11-03,FAC0197,Outpatient Clinic,Procedure Room,ITEM00114,PPE,Protective Gowns,Medium,Box,1147,203.0,222.5,0.133,Decreasing,0.95,No,2598,2431,12.8,106.9,9.8,7,VND046,4.2,6,6.3,2.5,No,1,No,Yes,47.7,No,1,0
SC00016173,2024-04-11,FAC0024,Ambulatory Surgery Center,Operating Room,ITEM00088,PPE,Eye Protection,Medium,Box,1773,26.5,22.1,0.435,Increasing,1.02,Yes,188,356,7.1,52.8,7.8,14,VND030,3.1,7,6.3,0.5,Yes,2,No,Yes,37.8,No,36,1
SC00016174,2024-06-24,FAC0162,Acute Care Hospital,ICU,ITEM00185,PPE,Protective Gowns,Medium,Box,792,49.1,54.1,0.146,Increasing,1.05,Yes,270,1213,5.5,22.3,22.5,3,VND020,2.6,18,20.8,0.7,Yes,1,No,Yes,96.6,No,121,1
SC00016175,2024-01-04,FAC0113,Acute Care Hospital,Operating Room,ITEM00409,Surgical Supplies,Drapes & Gowns,Medium,Case,1048,46.2,45.0,0.074,Stable,1.0,No,1839,699,39.8,263.1,11.6,7,VND070,4.3,10,9.6,1.0,No,1,No,No,94.5,No,163,0
SC00016176,2024-06-25,FAC0197,Outpatient Clinic,Nursing Station,ITEM00277,IV & Fluids,Irrigation Solutions,High,Case,73,31.1,31.5,0.074,Decreasing,0.81,Yes,65,1213,2.1,5.4,33.0,7,VND021,3.4,24,28.9,2.1,Yes,1,No,No,59.1,No,57,0
SC00016177,2021-05-06,FAC0150,Acute Care Hospital,Laboratory,ITEM00281,Surgical Supplies,Sponges & Gauze,High,Box,884,20.9,20.4,0.467,Decreasing,0.9,No,566,243,27.1,232.9,7.8,7,VND054,3.4,5,4.5,1.3,Yes,1,No,No,86.1,No,65,0
SC00016178,2024-11-06,FAC0067,Acute Care Hospital,Pharmacy,ITEM00132,Surgical Supplies,Drapes & Gowns,Low,Vial,723,32.4,34.9,0.372,Stable,1.01,No,308,524,9.5,58.8,11.2,14,VND037,4.2,8,7.9,2.3,Yes,0,No,No,94.7,No,65,1
SC00016179,2021-12-16,FAC0065,Acute Care Hospital,ICU,ITEM00444,PPE,Protective Gowns,Medium,Bag,1898,110.2,97.4,0.344,Stable,1.12,No,1708,1120,15.5,152.5,5.4,14,VND049,4.2,3,3.1,1.3,No,3,Yes,No,70.6,No,29,0
SC00016180,2023-03-09,FAC0142,Acute Care Hospital,ICU,ITEM00394,PPE,Gloves,Low,Box,1196,82.4,86.7,0.037,Increasing,1.13,No,231,390,2.8,59.2,5.4,1,VND034,3.5,4,3.8,0.6,Yes,1,No,Yes,69.7,No,145,0
SC00016181,2021-11-02,FAC0111,Acute Care Hospital,ICU,ITEM00441,Medications,IV Medications,High,Roll,276,7.5,7.6,0.156,Stable,0.89,No,15,245,2.0,6.1,9.6,28,VND084,4.0,9,7.5,0.1,Yes,0,No,Yes,66.9,No,104,1
SC00016182,2023-01-16,FAC0150,Acute Care Hospital,Pharmacy,ITEM00374,IV & Fluids,Crystalloid Solutions,High,Vial,199,46.6,47.5,0.602,Stable,0.98,No,1664,366,35.7,454.6,7.9,1,VND041,3.1,5,5.9,0.0,No,2,No,No,67.6,No,181,0
SC00016183,2022-11-17,FAC0061,Long-Term Care,Labor & Delivery,ITEM00397,Surgical Supplies,Drapes & Gowns,Medium,Each,718,82.7,100.0,0.464,Increasing,1.0,No,2258,2702,27.3,83.6,15.5,21,VND053,3.1,13,13.9,0.6,Yes,1,No,Yes,82.4,No,457,0
SC00016184,2021-07-02,FAC0065,Acute Care Hospital,Pharmacy,ITEM00156,Lab Consumables,PCR Consumables,High,Each,263,20.1,23.1,0.45,Decreasing,0.83,Yes,60,550,3.0,10.9,14.1,14,VND024,3.1,10,11.2,0.9,Yes,0,No,Yes,50.1,No,13,1
SC00016185,2023-11-06,FAC0056,Specialty Hospital,Emergency Department,ITEM00243,Surgical Supplies,Sponges & Gauze,High,Kit,1121,34.2,35.6,0.228,Stable,1.09,No,209,548,6.1,38.1,7.6,14,VND061,2.3,4,5.3,0.3,Yes,1,No,No,69.9,No,119,0
SC00016186,2023-07-03,FAC0093,Specialty Hospital,Med-Surg,ITEM00180,Medications,Oral Medications,Medium,Case,443,24.5,19.4,0.308,Stable,0.99,No,581,257,23.7,226.1,11.1,7,VND037,4.2,8,9.6,0.5,No,0,No,Yes,47.9,No,5,0
SC00016187,2021-02-15,FAC0008,Acute Care Hospital,Med-Surg,ITEM00057,Surgical Supplies,Sutures & Staples,Medium,Case,1263,33.9,32.6,0.292,Stable,0.91,No,1603,787,47.3,203.7,22.7,14,VND073,4.4,14,19.3,2.4,No,1,No,Yes,81.5,No,8,0
SC00016188,2023-04-20,FAC0160,Long-Term Care,Med-Surg,ITEM00010,Lab Consumables,Collection Tubes,High,Box,97,77.7,56.1,0.443,Stable,1.11,No,124,1414,1.6,8.8,8.8,28,VND034,3.5,4,4.7,2.1,Yes,0,No,Yes,57.1,No,86,1
SC00016189,2022-04-25,FAC0107,Acute Care Hospital,Emergency Department,ITEM00008,Surgical Supplies,Sutures & Staples,High,Box,409,34.4,27.7,0.18,Stable,1.15,No,79,175,2.3,45.1,7.6,1,VND034,3.5,4,3.7,1.9,Yes,2,No,Yes,63.0,No,239,0
SC00016190,2024-06-25,FAC0143,Acute Care Hospital,Pharmacy,ITEM00127,Surgical Supplies,Drapes & Gowns,High,Box,747,10.1,9.2,0.394,Stable,1.04,No,69,155,6.8,44.5,7.0,14,VND040,3.5,5,4.6,0.4,No,1,No,No,61.4,No,62,1
SC00016191,2024-11-26,FAC0002,Outpatient Clinic,Outpatient Pharmacy,ITEM00347,IV & Fluids,Crystalloid Solutions,Critical,Case,565,38.2,31.2,0.131,Stable,0.96,No,298,421,7.8,70.8,8.1,7,VND043,3.5,4,5.0,0.1,No,4,No,No,78.2,No,64,0
SC00016192,2022-07-27,FAC0160,Long-Term Care,Pharmacy,ITEM00308,IV & Fluids,Blood Products,High,Box,354,29.7,34.3,0.175,Decreasing,0.91,No,77,1537,2.6,5.0,26.6,14,VND013,3.8,25,24.2,0.4,Yes,1,No,Yes,42.3,No,163,0
SC00016193,2022-03-30,FAC0064,Ambulatory Surgery Center,Sterile Processing,ITEM00118,Surgical Supplies,Needles & Syringes,Medium,Each,1309,17.5,18.7,0.302,Stable,1.0,No,247,882,14.1,28.0,26.5,28,VND015,3.4,27,24.1,1.4,Yes,2,Yes,No,50.3,No,157,1
SC00016194,2022-01-26,FAC0056,Specialty Hospital,Oncology,ITEM00361,Lab Consumables,Slides & Stains,Medium,Each,307,77.2,69.5,0.32,Increasing,1.13,No,3883,1559,50.3,249.1,21.9,3,VND020,2.6,18,20.4,0.5,Yes,2,No,Yes,88.3,No,168,0
SC00016195,2023-04-03,FAC0024,Ambulatory Surgery Center,Pre/Post-Op,ITEM00343,IV & Fluids,Crystalloid Solutions,Medium,Each,578,10.8,10.7,0.02,Stable,1.11,No,491,148,45.5,331.8,6.5,14,VND054,3.4,5,5.3,0.2,Yes,2,Yes,No,64.6,No,73,0
SC00016196,2023-11-17,FAC0145,Ambulatory Surgery Center,Operating Room,ITEM00199,Medications,IV Medications,High,Each,378,4.7,3.5,0.149,Stable,1.07,No,133,74,28.4,179.7,11.4,14,VND056,3.1,8,7.7,1.7,Yes,1,No,No,22.3,No,40,0
SC00016197,2023-10-25,FAC0142,Acute Care Hospital,Laboratory,ITEM00361,Lab Consumables,Slides & Stains,Medium,Each,307,52.8,64.3,0.203,Increasing,1.1,No,327,924,6.2,35.4,14.0,1,VND023,2.5,12,12.3,0.7,No,0,No,Yes,86.8,No,67,0
SC00016198,2023-04-24,FAC0024,Ambulatory Surgery Center,Sterile Processing,ITEM00371,PPE,Protective Gowns,High,Pair,783,15.7,15.3,0.555,Stable,0.96,Yes,14,386,0.9,3.6,19.3,14,VND055,4.1,11,12.1,5.2,Yes,2,No,Yes,46.5,No,47,0
SC00016199,2022-07-25,FAC0145,Ambulatory Surgery Center,Operating Room,ITEM00386,IV & Fluids,TPN Components,High,Kit,566,32.8,24.3,0.278,Stable,1.05,No,3913,476,119.3,822.1,9.2,14,VND030,3.1,7,6.5,0.7,Yes,1,No,Yes,53.0,No,26,0
SC00016200,2024-02-01,FAC0018,Long-Term Care,Emergency Department,ITEM00022,IV & Fluids,Crystalloid Solutions,Critical,Each,172,27.6,19.9,0.312,Stable,0.98,No,130,376,4.7,34.6,14.0,7,VND027,4.5,7,9.0,2.0,Yes,1,No,No,81.9,No,524,0
SC00016201,2024-03-08,FAC0200,Acute Care Hospital,Oncology,ITEM00374,IV & Fluids,Crystalloid Solutions,High,Vial,199,24.3,26.4,0.139,Increasing,1.22,Yes,1803,776,74.2,232.3,19.2,14,VND073,4.4,14,16.6,0.6,No,2,No,No,86.6,Yes,32,0
SC00016202,2023-01-11,FAC0020,Ambulatory Surgery Center,Sterile Processing,ITEM00008,Surgical Supplies,Sutures & Staples,High,Box,409,84.5,69.6,0.166,Increasing,1.1,No,972,1267,11.5,76.7,7.3,14,VND009,3.4,6,5.0,0.3,No,1,No,Yes,53.6,No,110,0
SC00016203,2024-07-18,FAC0142,Acute Care Hospital,Operating Room,ITEM00254,Surgical Supplies,Drapes & Gowns,High,Kit,1317,65.9,87.8,0.154,Stable,1.13,Yes,1087,1782,16.5,61.0,17.9,7,VND055,4.1,11,11.9,4.0,Yes,1,No,No,64.1,No,12,0
SC00016204,2021-07-28,FAC0059,Long-Term Care,Pharmacy,ITEM00418,IV & Fluids,TPN Components,High,Box,473,19.2,16.5,0.677,Stable,0.99,Yes,559,127,29.1,440.2,7.5,3,VND034,3.5,4,4.8,0.7,Yes,0,No,No,50.7,No,178,0
SC00016205,2021-08-16,FAC0046,Acute Care Hospital,Laboratory,ITEM00157,Implants & Prosthetics,Neurological Implants,High,Vial,1852,4.0,3.5,0.162,Stable,0.96,No,186,59,46.5,315.3,7.7,14,VND054,3.4,5,5.0,0.7,No,0,No,No,84.9,No,14,0
SC00016206,2024-01-17,FAC0166,Long-Term Care,Med-Surg,ITEM00127,Surgical Supplies,Drapes & Gowns,High,Box,747,31.6,32.5,0.304,Decreasing,1.01,No,259,569,8.2,45.5,5.0,21,VND057,3.1,2,2.1,0.9,Yes,0,No,No,51.6,No,182,1
SC00016207,2021-05-07,FAC0126,Acute Care Hospital,Labor & Delivery,ITEM00168,IV & Fluids,Blood Products,Critical,Case,485,14.7,12.3,0.151,Stable,1.05,No,788,476,53.6,165.5,36.3,7,VND020,2.6,18,30.1,3.2,No,4,Yes,No,79.9,No,313,0
SC00016208,2022-10-06,FAC0024,Ambulatory Surgery Center,Sterile Processing,ITEM00144,Surgical Supplies,Needles & Syringes,Medium,Vial,184,16.7,15.8,0.246,Stable,0.83,No,125,236,7.5,53.0,9.4,14,VND042,4.4,6,7.9,0.5,Yes,1,No,No,49.6,No,158,1
SC00016209,2024-07-05,FAC0150,Acute Care Hospital,Emergency Department,ITEM00089,Lab Consumables,Slides & Stains,Medium,Box,75,112.4,118.1,0.336,Increasing,1.01,No,236,3735,2.1,6.3,25.7,7,VND021,3.4,24,24.4,0.3,Yes,1,No,Yes,67.9,No,40,0
SC00016210,2024-11-14,FAC0010,Long-Term Care,Med-Surg,ITEM00189,Surgical Supplies,Sponges & Gauze,Medium,Case,933,12.7,9.4,0.252,Stable,0.95,No,323,135,25.4,239.3,10.5,7,VND084,4.0,9,9.2,0.3,No,2,No,Yes,59.1,No,252,0
SC00016211,2024-03-27,FAC0197,Outpatient Clinic,Nursing Station,ITEM00239,Surgical Supplies,Sutures & Staples,High,Case,410,31.8,26.8,0.205,Stable,0.91,No,3062,394,96.3,777.2,10.1,7,VND027,4.5,7,6.8,1.3,No,2,No,Yes,67.5,Yes,156,0
SC00016212,2023-11-01,FAC0067,Acute Care Hospital,Operating Room,ITEM00434,IV & Fluids,Irrigation Solutions,High,Box,672,37.4,37.8,0.371,Increasing,1.05,No,251,1323,6.7,19.0,19.5,28,VND078,4.1,11,13.9,3.6,Yes,0,No,No,88.2,No,204,1
SC00016213,2022-05-17,FAC0187,Outpatient Clinic,Procedure Room,ITEM00444,PPE,Protective Gowns,Medium,Bag,1898,106.1,117.9,0.209,Stable,1.0,Yes,5804,1491,54.7,389.3,5.6,14,VND034,3.5,4,3.6,1.0,Yes,1,Yes,No,48.7,No,161,0
SC00016214,2023-06-09,FAC0098,Acute Care Hospital,Med-Surg,ITEM00330,Lab Consumables,Slides & Stains,Low,Case,272,27.6,30.4,0.349,Stable,1.16,Yes,246,137,8.9,179.6,5.5,3,VND049,4.2,3,2.9,1.6,No,1,Yes,No,71.6,No,69,0
SC00016215,2024-09-05,FAC0146,Ambulatory Surgery Center,Sterile Processing,ITEM00168,IV & Fluids,Blood Products,Critical,Case,485,19.8,17.9,0.039,Stable,1.0,Yes,91,467,4.6,19.5,9.3,21,VND061,2.3,4,4.7,1.6,Yes,1,Yes,No,36.3,No,283,0
SC00016216,2021-09-23,FAC0067,Acute Care Hospital,Pharmacy,ITEM00226,Wound Care,Foam & Hydrocolloid,Low,Box,658,12.7,15.2,0.35,Decreasing,1.0,No,33,160,2.6,20.6,9.2,7,VND066,3.7,7,7.9,0.3,Yes,1,No,Yes,51.0,No,279,0
SC00016217,2024-11-19,FAC0197,Outpatient Clinic,Nursing Station,ITEM00274,Implants & Prosthetics,Orthopedic Implants,Medium,Box,1413,3.1,2.9,0.207,Stable,0.86,No,22,70,7.0,31.4,16.5,14,VND073,4.4,14,15.4,0.1,No,1,No,No,59.8,No,5,1
SC00016218,2022-08-17,FAC0016,Ambulatory Surgery Center,Pre/Post-Op,ITEM00285,Lab Consumables,Collection Tubes,High,Vial,85,52.7,56.2,0.351,Stable,1.12,No,195,1652,3.7,11.8,13.8,28,VND030,3.1,7,9.7,2.1,Yes,0,No,Yes,44.1,No,189,1
SC00016219,2022-06-15,FAC0145,Ambulatory Surgery Center,Operating Room,ITEM00276,Surgical Supplies,Needles & Syringes,Low,Vial,945,16.2,19.8,0.054,Decreasing,1.05,No,599,446,37.0,134.3,17.6,21,VND080,4.6,12,16.0,0.6,Yes,1,No,No,75.7,No,124,0
SC00016220,2023-08-07,FAC0079,Ambulatory Surgery Center,Operating Room,ITEM00184,IV & Fluids,TPN Components,Critical,Each,412,65.5,56.2,0.075,Increasing,1.11,No,1159,1163,17.7,99.7,13.4,3,VND032,3.6,10,9.9,0.5,No,0,No,Yes,35.0,No,146,0
SC00016221,2023-05-23,FAC0119,Specialty Hospital,Laboratory,ITEM00171,Surgical Supplies,Needles & Syringes,Low,Case,461,37.2,48.5,0.235,Stable,1.19,No,863,1043,23.2,82.7,28.4,7,VND020,2.6,18,26.1,1.3,Yes,0,No,Yes,71.4,No,4,0
SC00016222,2022-09-30,FAC0143,Acute Care Hospital,Pharmacy,ITEM00104,Surgical Supplies,Sponges & Gauze,High,Case,1460,50.5,48.8,0.189,Stable,0.87,No,157,1298,3.1,12.1,15.8,14,VND080,4.6,12,13.2,0.6,Yes,0,No,Yes,77.7,Yes,121,0
SC00016223,2024-11-22,FAC0130,Acute Care Hospital,ICU,ITEM00100,IV & Fluids,TPN Components,High,Box,218,29.1,30.4,0.498,Increasing,0.83,No,1638,192,56.3,853.1,8.7,1,VND043,3.5,4,4.6,2.1,No,2,No,Yes,88.9,No,475,0
SC00016224,2023-12-04,FAC0050,Acute Care Hospital,Labor & Delivery,ITEM00358,Surgical Supplies,Drapes & Gowns,High,Each,1193,19.4,16.0,0.474,Increasing,1.03,No,217,325,11.2,66.8,6.4,21,VND034,3.5,4,3.9,0.5,No,1,No,No,61.7,No,171,0
SC00016225,2022-07-27,FAC0110,Acute Care Hospital,ICU,ITEM00358,Surgical Supplies,Drapes & Gowns,High,Each,1193,71.6,67.8,0.254,Stable,1.0,Yes,193,1281,2.7,15.1,12.2,7,VND032,3.6,10,9.9,0.3,Yes,0,No,No,85.5,No,1,0
SC00016226,2024-03-12,FAC0075,Acute Care Hospital,Med-Surg,ITEM00399,Lab Consumables,PCR Consumables,Medium,Box,82,58.3,63.3,0.396,Decreasing,0.88,No,478,546,8.2,87.5,7.5,7,VND034,3.5,4,4.8,1.7,Yes,3,No,Yes,42.5,No,38,0
SC00016227,2021-11-17,FAC0051,Acute Care Hospital,Operating Room,ITEM00109,Lab Consumables,Slides & Stains,High,Each,235,52.1,56.4,0.074,Increasing,1.2,No,677,1224,13.0,55.3,12.2,7,VND080,4.6,12,10.1,0.1,Yes,1,No,Yes,79.8,No,36,0
SC00016228,2024-05-30,FAC0047,Specialty Hospital,Med-Surg,ITEM00311,Surgical Supplies,Sutures & Staples,Medium,Bag,729,48.3,50.4,0.083,Stable,1.03,No,425,985,8.8,43.1,13.7,14,VND070,4.3,10,10.9,1.8,No,1,No,Yes,72.6,No,9,1
SC00016229,2023-07-19,FAC0072,Acute Care Hospital,Operating Room,ITEM00146,Surgical Supplies,Needles & Syringes,Medium,Each,635,38.9,32.8,0.485,Stable,1.05,Yes,836,962,21.5,86.9,32.7,3,VND021,3.4,24,30.7,1.0,Yes,0,No,Yes,67.7,No,219,0
SC00016230,2024-09-13,FAC0107,Acute Care Hospital,Pharmacy,ITEM00227,Surgical Supplies,Needles & Syringes,Medium,Box,704,43.2,42.4,0.043,Decreasing,0.97,No,743,756,17.2,98.3,7.8,21,VND054,3.4,5,6.6,0.2,Yes,0,No,No,74.6,No,111,0
SC00016231,2023-10-02,FAC0056,Specialty Hospital,Laboratory,ITEM00077,Implants & Prosthetics,Neurological Implants,High,Bag,1410,1.9,2.1,0.114,Stable,1.1,No,137,72,71.9,190.3,16.3,21,VND073,4.4,14,13.4,0.9,No,0,No,Yes,80.7,No,60,0
SC00016232,2021-04-02,FAC0197,Outpatient Clinic,Outpatient Pharmacy,ITEM00301,Wound Care,Adhesives,Low,Bag,1072,13.1,14.0,0.106,Decreasing,0.96,No,109,301,8.3,36.2,25.8,7,VND020,2.6,18,24.3,0.5,Yes,1,No,Yes,24.1,No,98,1
SC00016233,2021-03-19,FAC0148,Acute Care Hospital,ICU,ITEM00425,Medications,Oral Medications,High,Case,507,21.4,19.7,0.129,Decreasing,0.76,No,959,207,44.8,463.3,6.7,7,VND072,4.5,4,4.5,0.2,No,1,No,No,78.7,No,3,0
SC00016234,2022-03-03,FAC0075,Acute Care Hospital,Pharmacy,ITEM00110,Surgical Supplies,Sponges & Gauze,High,Each,530,72.4,90.7,0.141,Stable,0.91,Yes,7001,2730,96.7,256.4,25.9,7,VND020,2.6,18,23.4,0.5,No,2,No,Yes,65.9,No,44,0
SC00016235,2023-04-21,FAC0071,Acute Care Hospital,Sterile Processing,ITEM00128,Lab Consumables,PCR Consumables,High,Box,30,65.2,56.4,0.299,Stable,0.83,No,72,750,1.1,9.6,8.3,7,VND022,4.9,6,5.7,0.6,Yes,1,No,Yes,85.7,No,2,0
SC00016236,2022-09-23,FAC0161,Outpatient Clinic,Outpatient Pharmacy,ITEM00395,Surgical Supplies,Needles & Syringes,Medium,Vial,540,63.1,76.8,0.15,Stable,1.15,Yes,1300,2517,20.6,51.6,26.4,7,VND013,3.8,25,24.2,1.2,Yes,0,No,Yes,49.4,No,156,0
SC00016237,2022-04-15,FAC0008,Acute Care Hospital,ICU,ITEM00354,Medications,Oral Medications,High,Each,345,7.7,8.5,0.453,Stable,1.14,No,64,369,8.3,17.3,24.5,14,VND021,3.4,24,21.7,0.8,No,1,No,Yes,36.8,No,182,0
SC00016238,2024-08-23,FAC0012,Ambulatory Surgery Center,Operating Room,ITEM00040,PPE,Masks & Respirators,High,Case,928,117.0,142.1,0.052,Stable,0.73,No,3042,5471,26.0,55.6,33.1,7,VND021,3.4,24,30.8,0.3,Yes,0,No,No,57.7,No,66,0
SC00016239,2023-01-26,FAC0198,Specialty Hospital,Operating Room,ITEM00206,Surgical Supplies,Sutures & Staples,Low,Box,787,72.9,68.2,0.154,Stable,0.99,No,430,784,5.9,54.8,11.0,7,VND038,4.8,8,9.5,0.5,No,2,No,Yes,74.4,No,120,0
SC00016240,2022-03-03,FAC0191,Acute Care Hospital,Med-Surg,ITEM00308,IV & Fluids,Blood Products,High,Box,354,36.1,36.8,0.078,Stable,0.93,No,1144,592,31.7,193.2,10.7,7,VND037,4.2,8,8.0,0.7,Yes,0,No,Yes,67.7,No,625,0
SC00016241,2021-06-24,FAC0111,Acute Care Hospital,Pharmacy,ITEM00008,Surgical Supplies,Sutures & Staples,High,Box,409,35.8,30.9,0.163,Increasing,0.95,No,297,497,8.3,59.8,11.6,7,VND083,3.4,8,8.9,0.7,Yes,1,No,Yes,66.7,No,70,0
SC00016242,2022-05-26,FAC0131,Specialty Hospital,Med-Surg,ITEM00397,Surgical Supplies,Drapes & Gowns,Medium,Each,718,31.9,25.5,0.052,Increasing,1.1,No,144,323,4.5,44.6,4.7,14,VND034,3.5,4,3.1,0.6,Yes,1,No,Yes,57.1,No,69,0
SC00016243,2022-09-02,FAC0063,Long-Term Care,Laboratory,ITEM00308,IV & Fluids,Blood Products,High,Box,354,29.7,38.1,0.583,Stable,0.96,No,1717,400,57.8,429.3,7.1,7,VND072,4.5,4,4.4,0.7,Yes,1,No,Yes,67.0,No,20,0
SC00016244,2024-06-04,FAC0102,Acute Care Hospital,ICU,ITEM00303,Wound Care,Adhesives,Medium,Each,967,23.4,21.6,0.122,Stable,1.03,No,1509,273,64.5,552.7,5.2,14,VND034,3.5,4,3.6,0.6,Yes,0,No,No,75.7,No,93,0
SC00016245,2024-12-24,FAC0131,Specialty Hospital,Operating Room,ITEM00168,IV & Fluids,Blood Products,Critical,Case,485,16.9,16.1,0.068,Stable,1.1,Yes,32,710,1.9,4.5,22.4,21,VND073,4.4,14,16.8,2.6,Yes,2,Yes,No,54.1,No,101,1
SC00016246,2021-07-21,FAC0145,Ambulatory Surgery Center,Operating Room,ITEM00100,IV & Fluids,TPN Components,High,Box,218,7.1,9.4,0.115,Increasing,1.22,Yes,14,125,2.0,11.2,8.1,7,VND011,4.0,6,6.0,0.1,Yes,4,No,Yes,49.3,No,215,0
SC00016247,2024-09-13,FAC0197,Outpatient Clinic,Outpatient Pharmacy,ITEM00371,PPE,Protective Gowns,High,Pair,783,31.1,30.3,0.306,Stable,1.17,No,190,1103,6.1,17.2,14.1,28,VND080,4.6,12,11.9,0.2,Yes,0,No,Yes,75.1,No,163,0
SC00016248,2022-04-27,FAC0195,Ambulatory Surgery Center,Operating Room,ITEM00199,Medications,IV Medications,High,Each,378,34.9,50.0,0.237,Stable,0.91,No,2125,1225,60.9,173.5,15.3,7,VND073,4.4,14,13.0,0.3,No,1,No,No,40.0,No,43,0
SC00016249,2024-12-11,FAC0183,Ambulatory Surgery Center,Sterile Processing,ITEM00018,Lab Consumables,Collection Tubes,High,Vial,235,40.9,33.0,0.299,Increasing,1.24,No,1722,785,42.1,219.4,11.5,14,VND032,3.6,10,9.3,0.2,Yes,1,No,Yes,86.6,No,8,0
SC00016250,2021-10-14,FAC0198,Specialty Hospital,Med-Surg,ITEM00039,Wound Care,Primary Dressings,Low,Box,1012,5.6,6.7,0.257,Stable,0.91,No,75,121,13.4,62.0,9.8,14,VND078,4.1,11,8.4,0.4,Yes,1,No,No,60.4,No,188,1
SC00016251,2022-11-16,FAC0138,Specialty Hospital,Emergency Department,ITEM00361,Lab Consumables,Slides & Stains,Medium,Each,307,24.7,20.8,0.127,Stable,0.98,No,951,765,38.5,124.3,26.1,14,VND013,3.8,25,22.7,2.4,Yes,3,No,Yes,90.2,No,245,0
SC00016252,2022-10-25,FAC0149,Ambulatory Surgery Center,Sterile Processing,ITEM00074,Medications,Controlled Substances,High,Each,199,34.3,38.2,0.402,Stable,1.1,No,1952,508,56.9,384.3,12.5,3,VND056,3.1,8,8.2,2.3,No,0,No,No,54.4,No,343,0
SC00016253,2021-11-25,FAC0046,Acute Care Hospital,Emergency Department,ITEM00319,IV & Fluids,TPN Components,Critical,Each,555,18.2,21.5,0.303,Stable,1.03,No,71,677,3.9,10.5,12.4,21,VND035,3.4,7,5.4,4.0,Yes,2,No,Yes,88.2,No,40,1
SC00016254,2023-05-19,FAC0085,Specialty Hospital,Med-Surg,ITEM00239,Surgical Supplies,Sutures & Staples,High,Case,410,31.2,31.1,0.148,Decreasing,0.95,No,178,762,5.7,23.4,9.4,21,VND035,3.4,7,6.1,1.3,Yes,0,No,Yes,85.4,No,7,0
SC00016255,2023-03-03,FAC0116,Long-Term Care,Med-Surg,ITEM00039,Wound Care,Primary Dressings,Low,Box,1012,9.3,8.5,0.126,Increasing,1.09,No,197,94,21.2,209.6,5.7,14,VND061,2.3,4,4.3,0.4,Yes,1,No,No,78.4,No,39,0
SC00016256,2023-12-25,FAC0129,Acute Care Hospital,Emergency Department,ITEM00080,IV & Fluids,Irrigation Solutions,Medium,Case,274,21.9,18.6,0.106,Stable,0.84,Yes,219,385,10.0,56.9,11.9,14,VND078,4.1,11,10.8,0.1,Yes,0,No,Yes,93.3,No,135,0
SC00016257,2021-09-22,FAC0045,Acute Care Hospital,Emergency Department,ITEM00124,Lab Consumables,PCR Consumables,Medium,Each,211,30.2,23.6,0.274,Stable,1.23,No,773,868,25.6,89.1,20.4,28,VND051,3.8,18,18.3,1.1,No,1,No,No,86.2,No,275,0
SC00016258,2021-08-11,FAC0197,Outpatient Clinic,Nursing Station,ITEM00208,Lab Consumables,Reagents & Test Kits,Medium,Each,82,62.4,70.4,0.261,Stable,0.92,No,1741,1336,27.9,130.3,17.1,7,VND053,3.1,13,14.1,2.0,Yes,1,No,Yes,52.2,No,25,0
SC00016259,2021-02-24,FAC0024,Ambulatory Surgery Center,Pre/Post-Op,ITEM00395,Surgical Supplies,Needles & Syringes,Medium,Vial,540,20.5,18.4,0.26,Increasing,1.08,No,168,116,8.2,144.8,3.2,7,VND057,3.1,2,2.2,0.0,Yes,2,No,Yes,72.9,No,60,0
SC00016260,2021-07-02,FAC0195,Ambulatory Surgery Center,Pre/Post-Op,ITEM00125,Lab Consumables,Reagents & Test Kits,High,Each,30,38.3,39.8,0.256,Increasing,1.11,No,1015,780,26.5,130.1,9.8,14,VND002,4.3,7,7.0,0.8,No,2,No,No,42.1,No,400,0
SC00016261,2022-07-11,FAC0145,Ambulatory Surgery Center,Operating Room,ITEM00255,PPE,Gloves,Low,Each,706,101.9,116.0,0.416,Increasing,1.08,No,1528,2088,15.0,73.2,10.5,14,VND014,3.7,11,9.1,0.4,No,3,Yes,Yes,76.5,No,199,1
